Computer,TotalMemoryGB,UsedMemoryPercentageWithSymbol,"Free_RAM",FreeMemoryGB,UsedMemoryGB,UsedMemoryPercentage
DMSPSAP221,32,"17.15%",Healthy,"26.51098969987569","5.48901030012431","17.15"
DMSPSAP61,32,"17.14%",Healthy,"26.514715731534093","5.485284268465907","17.14"
ACMDPPR18,32,"17.13%",Healthy,"26.519387823926163","5.480612176073837","17.13"
ACMDPBD202,32,"16.94%",Healthy,"26.57781238906638","5.422187610933619","16.94"
PREMSPSBD55,32,"16.55%",Healthy,"26.704514919543822","5.295485080456178","16.55"
PREMSPSBD73,32,"16.54%",Healthy,"26.706317116477273","5.293682883522727","16.54"
ACMDPBD28,32,"16.5%",Healthy,"26.72064075257366","5.279359247426338","16.5"
DMSPSBD51,32,"16.45%",Healthy,"26.737178267045454","5.262821732954546","16.45"
ACMDPAP32,32,"16.32%",Healthy,"26.77710489882854","5.22289510117146","16.32"
ACMDPPR126,32,"16.08%",Healthy,"26.855910431846457","5.144089568153543","16.08"
PREMSPSPR50,32,"16.08%",Healthy,"26.855039765666607","5.144960234333393","16.08"
PREMSPSBD62,32,"16.04%",Healthy,"26.868244140625","5.1317558593750014","16.04"
PREMSPSPR132,32,"15.98%",Healthy,"26.885536836499202","5.1144631635007975","15.98"
DMSPSBD55,32,"15.88%",Healthy,"26.917741299715907","5.082258700284093","15.88"
DMSPSPR55,32,"15.84%",Healthy,"26.931854429256166","5.068145570743834","15.84"
ACMDPBD158,32,"15.72%",Healthy,"26.97103106141285","5.028968938587148","15.72"
PREMPSPSAP183,32,"15.72%",Healthy,"26.968923841647435","5.031076158352565","15.72"
ACMDPBD66,32,"15.7%",Healthy,"26.975078424414477","5.024921575585523","15.7"
DMSPSBD56,32,"15.66%",Healthy,"26.987948517663767","5.012051482336233","15.66"
ACMDPPR14,32,"15.61%",Healthy,"27.00593700088731","4.994062999112689","15.61"
PREMSPSPR231,32,"15.49%",Healthy,"27.041946041888536","4.9580539581114635","15.49"
PREMSPSPR53,32,"15.46%",Healthy,"27.051325639204546","4.948674360795454","15.46"
ACMDPPR111,32,"15.46%",Healthy,"27.053162555456964","4.946837444543036","15.46"
ACMDPPR156,32,"15.42%",Healthy,"27.06579698314108","4.93420301685892","15.42"
ACMDPBD123,98,"15.36%",Healthy,"82.94369329073483","15.056306709265172","15.36"
DMSPSBD11,131,"15.31%",Healthy,"110.94379052014912","20.056209479850878","15.31"
PREMSPSAP182,32,"15.31%",Healthy,"27.102383969326276","4.897616030673724","15.31"
PREMSPSPR101,32,"15.29%",Healthy,"27.10807864370673","4.89192135629327","15.29"
DMSPSAP30,32,"15.23%",Healthy,"27.125706550683475","4.874293449316525","15.23"
PREMSPSPR182,32,"15.18%",Healthy,"27.141023074192404","4.858976925807596","15.18"
PREMSPSBD72,32,"15.04%",Healthy,"27.185782848011364","4.814217151988636","15.04"
DMSPSPR131,32,"15.03%",Healthy,"27.191115432427633","4.808884567572367","15.03"
ACMDPBD62,32,"14.96%",Healthy,"27.212448704295348","4.787551295704652","14.96"
ACMDPPR124,32,"14.91%",Healthy,"27.22741419698314","4.7725858030168595","14.91"
PREMSPSPR121,32,"14.89%",Healthy,"27.234330907154266","4.765669092845734","14.89"
PREMSPSAP81,32,"14.88%",Healthy,"27.238720930232557","4.761279069767443","14.88"
DMSPSPR61,32,"14.87%",Healthy,"27.242134765625","4.757865234375","14.87"
PREMSPSPR211,32,"14.74%",Healthy,"27.282434404402625","4.7175655955973745","14.74"
ACMDPBD67,32,"14.66%",Healthy,"27.309032830523513","4.690967169476487","14.66"
ACMDPAP25,32,"14.55%",Healthy,"27.343845430346054","4.656154569653946","14.55"
PREMSPSPR141,32,"14.51%",Healthy,"27.357946377840907","4.642053622159093","14.51"
PREMSPSAP12,32,"14.42%",Healthy,"27.38445704650337","4.615542953496629","14.42"
ACMDPPR173,32,"14.28%",Healthy,"27.429657969471066","4.570342030528934","14.28"
DMSPSAP60,32,"13.93%",Healthy,"27.541987040653293","4.458012959346707","13.93"
PREMSPSPR135,32,"13.91%",Healthy,"27.54896186440678","4.451038135593219","13.91"
ACMDPAP173,32,"13.82%",Healthy,"27.576526801561943","4.423473198438057","13.82"
ACMDPBD69,32,"13.78%",Healthy,"27.590502573203192","4.409497426796808","13.78"
ACMDPPR76,32,"13.65%",Healthy,"27.631770992366413","4.3682290076335875","13.65"
ACMDPAP174,32,"13.44%",Healthy,"27.69870939108823","4.301290608911771","13.44"
ACMDPAP63,32,"13.44%",Healthy,"27.699594853593613","4.300405146406387","13.44"
ACMDPPR30,98,"13.43%",Healthy,"84.83461348713399","13.165386512866007","13.43"
ACMDPPR182,32,"13.4%",Healthy,"27.71058697195598","4.28941302804402","13.4"
ACMDPBD70,32,"13.35%",Healthy,"27.726993432729856","4.273006567270144","13.35"
ACMDPAP29,98,"13.22%",Healthy,"85.04530014199503","12.954699858004972","13.22"
ACMDPAP10,32,"13.11%",Healthy,"27.8042958296362","4.1957041703638005","13.11"
ACMDPAP185,32,"13.02%",Healthy,"27.835155839545617","4.164844160454383","13.02"
ACMDPPR83,262,"12.88%",Healthy,"228.25834007809726","33.74165992190274","12.88"
ACMDPAP156,32,"12.7%",Healthy,"27.934846112886046","4.065153887113954","12.7"
ACMDPAP136,32,"12.61%",Healthy,"27.96337025204118","4.03662974795882","12.61"
ACMDPPR138,32,"12.59%",Healthy,"27.97217234646787","4.027827653532128","12.59"
ACMDPAP03,32,"12.45%",Healthy,"28.01476056088037","3.9852394391196313","12.45"
ACMDPPR183,32,"12.4%",Healthy,"28.031911446317658","3.9680885536823425","12.4"
