Computer,Disk,DiskMBPerSecondAverage
ACMDPBD38,"K:","265.63"
ACMDPBD38,"F:","225.31"
ACMDPBD38,"L:","193.21"
ACMDPBD38,"I:","138.85"
ACMDPBD38,"J:","122.38"
ACMDPBD38,"D:","2.14"
ACMDPBD38,"P:",0
ACMDPBD40,"E:","132763.11"
ACMDPBD40,"F:","90899.84"
ACMDPBD40,"K:","14017.96"
ACMDPBD40,"L:","8562.97"
ACMDPBD40,"H:","7487.14"
ACMDPBD40,"M:","6359.61"
ACMDPBD40,"N:","2347.38"
ACMDPBD40,"G:","1542.72"
ACMDPBD40,"J:","289.87"
ACMDPBD40,"C:","229.21"
ACMDPBD40,"D:","33.51"
ACMDPBD40,"I:","0.95"
ACMDPBD40,"P:",0
ACMDPBD42,"F:","56777.67"
ACMDPBD42,"E:","1053.99"
ACMDPBD42,"C:","159.29"
ACMDPBD42,"D:","12.16"
ACMDPBD42,"P:",0
ACMDPBD43,"C:","189.19"
ACMDPBD43,"F:","90.06"
ACMDPBD43,"E:","25.38"
ACMDPBD43,"D:","4.3"
ACMDPBD43,"P:",0
ACMDPBD46,"C:","175.19"
ACMDPBD46,"E:",83
ACMDPBD46,"F:","56.09"
ACMDPBD46,"D:","4.63"
ACMDPBD46,"P:",0
ACMDPBD47,"C:","135.12"
ACMDPBD47,"F:","3.85"
ACMDPBD47,"D:","1.43"
ACMDPBD47,"E:","1.1"
ACMDPBD47,"P:",0
ACMDPBD50,"C:","296.75"
ACMDPBD50,"D:","6.05"
ACMDPBD50,"E:","0.54"
ACMDPBD50,"F:","0.08"
ACMDPBD50,"G:",0
ACMDPBD50,"H:",0
ACMDPBD51,"C:","37.47"
ACMDPBD51,"D:","0.26"
ACMDPBD51,"E:","0.14"
ACMDPBD51,"F:","0.02"
ACMDPBD53,"C:","151.81"
ACMDPBD53,"F:","5.34"
ACMDPBD53,"E:","3.36"
ACMDPBD53,"D:","1.03"
ACMDPBD54,"C:","126.01"
ACMDPBD54,"H:","3.89"
ACMDPBD54,"D:","1.99"
ACMDPBD54,"E:",0
ACMDPBD54,"F:",0
ACMDPBD56,"C:","240.61"
ACMDPBD56,"E:","17.15"
ACMDPBD56,"F:","11.41"
ACMDPBD56,"D:","4.35"
ACMDPBD57,"F:","286.27"
ACMDPBD57,"E:","179.91"
ACMDPBD57,"D:","150.53"
ACMDPBD57,"C:","121.51"
ACMDPBD57,"G:",0
ACMDPBD62,"C:","152.97"
ACMDPBD62,"H:","5.47"
ACMDPBD62,"E:","3.07"
ACMDPBD62,"D:","2.27"
ACMDPBD62,"F:","1.77"
ACMDPBD63,"C:","156.33"
ACMDPBD63,"E:","62.88"
ACMDPBD63,"F:","19.58"
ACMDPBD63,"H:","5.49"
ACMDPBD63,"D:","5.1"
ACMDPBD66,"C:","106.32"
ACMDPBD66,"D:","1.27"
ACMDPBD66,"F:",0
ACMDPBD66,"E:",0
ACMDPBD67,"C:","111.91"
ACMDPBD67,"D:","4.78"
ACMDPBD67,"F:",0
ACMDPBD67,"E:",0
ACMDPBD68,"C:","98.81"
ACMDPBD68,"F:","3.77"
ACMDPBD68,"D:","0.88"
ACMDPBD68,"E:",0
ACMDPBD69,"C:","108.59"
ACMDPBD69,"F:",0
ACMDPBD69,"D:",0
ACMDPBD69,"E:",0
ACMDPBD70,"C:","102.38"
ACMDPBD70,"D:",1
ACMDPBD70,"F:",0
ACMDPBD70,"E:",0
ACMDPBD72,"C:","104.49"
ACMDPBD72,"H:","3.8"
ACMDPBD72,"D:","0.99"
ACMDPBD72,"F:",0
ACMDPBD72,"G:",0
ACMDPBD72,"E:",0
ACMDPBD73,"C:","106.86"
ACMDPBD73,"D:","0.97"
ACMDPBD73,"G:",0
ACMDPBD73,"F:",0
ACMDPBD73,"H:",0
ACMDPBD73,"E:",0
ACMDPBD81,"N:","55583.5"
ACMDPBD81,"L:","48003.01"
ACMDPBD81,"K:","46626.5"
ACMDPBD81,"O:","44773.17"
ACMDPBD81,"M:","33686.36"
ACMDPBD81,"I:","18560.97"
ACMDPBD81,"J:","17665.67"
ACMDPBD81,"F:","3634.6"
ACMDPBD81,"C:","265.04"
ACMDPBD81,"D:","8.59"
ACMDPBD81,"G:","0.31"
ACMDPBD81,"E:","0.11"
ACMDPBD81,"H:","0.06"
ACMDPBD82,"E:","2458.4"
ACMDPBD82,"G:","776.32"
ACMDPBD82,"C:","191.24"
ACMDPBD82,"F:","143.4"
ACMDPBD82,"D:","63.28"
ACMDPBD82,"P:",0
ACMDPBD92,"L:","12361.06"
ACMDPBD92,"F:","6075.37"
ACMDPBD92,"E:","4026.07"
ACMDPBD92,"T:","1299.47"
ACMDPBD92,"N:","618.07"
ACMDPBD92,"H:","472.77"
ACMDPBD92,"G:","378.7"
ACMDPBD92,"J:","315.87"
ACMDPBD92,"C:","264.01"
ACMDPBD92,"D:",14
ACMDPBD92,"P:","3.02"
ACMDPBD95,"G:","3732.44"
