Computer,Disk,DiskPercentageUsed,"Free_Space_Label",LogicalDiskSpacePercentageFreeAverage
ACMDPBD127,"C:","50.01%",Healthy,"50.01"
ACMDPBD127,"P:","19.79%",Healthy,"19.79"
ACMDPBD127,"E:","10.65%",Healthy,"10.65"
ACMDPBD128,"H:","99.81%",Critical,"99.81"
ACMDPBD128,"G:","61.9%",Warning,"61.9"
ACMDPBD128,"D:","60.52%",Warning,"60.52"
ACMDPBD128,"F:","60.18%",Warning,"60.18"
ACMDPBD128,"C:","21.62%",Healthy,"21.62"
ACMDPBD128,"P:","19.59%",Healthy,"19.59"
ACMDPBD128,"E:","15.7%",Healthy,"15.7"
ACMDPBD136,"I:","98.44%",Critical,"98.44"
ACMDPBD136,"H:","91.04%",Critical,"91.04"
ACMDPBD136,"F:","64.72%",Warning,"64.72"
ACMDPBD136,"C:","57.95%",Healthy,"57.95"
ACMDPBD136,"L:","54.54%",Healthy,"54.54"
ACMDPBD136,"E:","52.71%",Healthy,"52.71"
ACMDPBD136,"J:","44.67%",Healthy,"44.67"
ACMDPBD136,"G:","44.09%",Healthy,"44.09"
ACMDPBD136,"M:","42.29%",Healthy,"42.29"
ACMDPBD136,"D:","31.87%",Healthy,"31.87"
ACMDPBD136,"N:","31.35%",Healthy,"31.35"
ACMDPBD136,"K:","22.24%",Healthy,"22.24"
ACMDPBD136,"P:","4.86%",Healthy,"4.86"
ACMDPBD137,"I:","98.44%",Critical,"98.44"
ACMDPBD137,"P:","91.91%",Critical,"91.91"
ACMDPBD137,"X:","87.97%",Warning,"87.97"
ACMDPBD137,"D:","81.52%",Warning,"81.52"
ACMDPBD137,"G:","64.79%",Warning,"64.79"
ACMDPBD137,"F:","64.76%",Warning,"64.76"
ACMDPBD137,"L:","54.59%",Healthy,"54.59"
ACMDPBD137,"E:","52.71%",Healthy,"52.71"
ACMDPBD137,"C:","52.56%",Healthy,"52.56"
ACMDPBD137,"K:","22.26%",Healthy,"22.26"
ACMDPBD137,"H:","19.74%",Healthy,"19.74"
ACMDPBD139,"I:","98.71%",Critical,"98.71"
ACMDPBD139,"P:","94.17%",Critical,"94.17"
ACMDPBD139,"X:","91.53%",Critical,"91.53"
ACMDPBD139,"D:","86.74%",Warning,"86.74"
ACMDPBD139,"F:","64.72%",Warning,"64.72"
ACMDPBD139,"G:","64.46%",Warning,"64.46"
ACMDPBD139,"L:","54.54%",Healthy,"54.54"
ACMDPBD139,"E:","52.64%",Healthy,"52.64"
ACMDPBD139,"C:","43.02%",Healthy,"43.02"
ACMDPBD139,"K:","22.24%",Healthy,"22.24"
ACMDPBD139,"H:","19.74%",Healthy,"19.74"
ACMDPBD14,"F:","97.79%",Critical,"97.79"
ACMDPBD14,"D:","85.59%",Warning,"85.59"
ACMDPBD14,"G:","76.04%",Warning,"76.04"
ACMDPBD14,"C:","67.41%",Warning,"67.41"
ACMDPBD14,"E:","62.98%",Warning,"62.98"
ACMDPBD14,"P:","25.99%",Healthy,"25.99"
ACMDPBD140,"I:","98.71%",Critical,"98.71"
ACMDPBD140,"P:","94.16%",Critical,"94.16"
ACMDPBD140,"X:","86.8%",Warning,"86.8"
ACMDPBD140,"D:","75.31%",Warning,"75.31"
ACMDPBD140,"F:","63.81%",Warning,"63.81"
ACMDPBD140,"H:","58.37%",Healthy,"58.37"
ACMDPBD140,"L:","54.59%",Healthy,"54.59"
ACMDPBD140,"E:","52.71%",Healthy,"52.71"
ACMDPBD140,"C:","48.91%",Healthy,"48.91"
ACMDPBD140,"G:","47.77%",Healthy,"47.77"
ACMDPBD140,"K:","22.26%",Healthy,"22.26"
ACMDPBD141,"H:","99.28%",Critical,"99.28"
ACMDPBD141,"I:","98.9%",Critical,"98.9"
